stock,strategy,return_pct,sharpe,max_dd,trades
NFLX,RSI_Divergence,-31.372056724305253,-0.5276738415620803,0.35271321663121136,444
NFLX,Bollinger_Mean_Reversion,-35.15149568970354,-0.6932387485916043,0.38267475388367406,288
NFLX,Three_MA_Trend,10.888236299725351,0.10622570765347623,0.19410707984613051,168
NFLX,Dual_Moving_Average_Crossover,-0.37306045119234477,-0.006139552819799754,0.17587960948093515,350
NFLX,CCI_Mean_Reversion,-33.9952486469581,-0.6683231604311514,0.3715802982297723,276
NFLX,Stochastic_RSI_Oscillator,-32.09258450744738,-0.6461813051174665,0.33570907192866073,218
NFLX,WilliamsR_Momentum,206.19028238117053,0.2050953313357237,0.7157678251469409,10
AMD,Oversold_Bounce,180.57901399999997,0.17964677197621143,0.4513618435086175,2
AMD,MACDTrend,-57.60919997501478,-0.6037149803946209,0.6055503656086918,1646
AMD,ADXTrend,-52.33726987034733,-0.5578265686135682,0.5412194927577344,1164
AMD,RSI_Divergence,-67.71712401659487,-0.825764714780359,0.6945337327583733,814
AMD,Bollinger_Mean_Reversion,-61.55200779424742,-0.653448149148794,0.6440706488330038,624
AMD,Three_MA_Trend,-13.04711403533496,-0.09685845285546042,0.1975532522572651,402
AMD,Dual_Moving_Average_Crossover,9.678867011825917,0.06410606214363652,0.23900400988024367,788
AMD,CCI_Mean_Reversion,-64.03206748346425,-0.6756407568354232,0.668766120412911,620
AMD,Stochastic_RSI_Oscillator,-52.232265898245004,-0.49576931904106625,0.5665259786404087,466
AMD,WilliamsR_Momentum,-68.37109102643997,-0.09576601878673403,0.8899360975818268,38
INTC,Oversold_Bounce,36461.13037699057,0.3110947721792389,0.8366013699385484,2
INTC,MACDTrend,-86.98000737308718,-1.3400627958437057,0.8699414737308718,2184
INTC,ADXTrend,-72.52326890680307,-0.8712399258147684,0.7393972120212332,1460
INTC,RSI_Divergence,-54.28123312017002,-0.5775964068907281,0.5708919163538126,966
INTC,Bollinger_Mean_Reversion,-52.540684900836176,-0.3878578173178486,0.6363623776919187,838
INTC,Three_MA_Trend,-26.01784266525043,-0.20378325078482845,0.3528676804542709,478
INTC,Dual_Moving_Average_Crossover,-52.11392233437899,-0.49912358177597965,0.5588439970249859,1006
INTC,CCI_Mean_Reversion,-46.19147740159681,-0.3956164520329895,0.5802792696515743,794
INTC,Stochastic_RSI_Oscillator,-32.93077417431143,-0.3026797075414908,0.4117094866986465,524
INTC,WilliamsR_Momentum,16.149014541395022,0.0720129954106353,0.3067280220551756,52
CRM,Oversold_Bounce,774.880275015,0.4103210902612891,0.5499110042405094,2
CRM,MACDTrend,-45.93839525016305,-1.1635120129945695,0.5086483736844366,846
CRM,ADXTrend,-28.48073780505473,-0.6558877469779019,0.33810411033196247,582
CRM,RSI_Divergence,-32.07346250541212,-0.892953599781829,0.33618860554195457,400
CRM,Bollinger_Mean_Reversion,-33.846804936925736,-0.7051066556293892,0.3422529666660246,330
CRM,Three_MA_Trend,-4.537718272190672,-0.09487287814157286,0.16195651855538182,190
CRM,Dual_Moving_Average_Crossover,-27.471631290208826,-0.7236344448128897,0.3004922225182472,416
CRM,CCI_Mean_Reversion,-21.75096416571841,-0.49188827635684707,0.2573852087615777,316
CRM,Stochastic_RSI_Oscillator,-27.05922522428623,-0.537067781580673,0.27921865483004304,230
CRM,WilliamsR_Momentum,-95.58354862220425,-0.051574644661975505,1.0,20
ORCL,Oversold_Bounce,12717.067781751688,0.3808349594101907,0.8227953445137778,2
ORCL,MACDTrend,-71.63658764624043,-1.3035581586148355,0.7209706766492742,1508
ORCL,ADXTrend,-45.88559435483518,-0.6501906547603824,0.502711450914294,1004
ORCL,RSI_Divergence,-43.45889096851918,-0.6213336023027994,0.43862881759274125,726
ORCL,Bollinger_Mean_Reversion,-40.53706164644696,-0.4625497789809031,0.45108910338374963,580
ORCL,Three_MA_Trend,-14.632167696724252,-0.14928008139643165,0.3317278226739241,362
ORCL,Dual_Moving_Average_Crossover,-37.05989792017876,-0.5116359560078924,0.40481181221611656,740
ORCL,CCI_Mean_Reversion,-52.402157208174614,-0.5226526307624615,0.5624915238733406,604
ORCL,Stochastic_RSI_Oscillator,-46.00682184343612,-0.3517495421629792,0.47850900276644764,390
ORCL,WilliamsR_Momentum,151.5244713651046,0.1883660356670856,0.5651295139850848,44
