symbol,strategy_rank,strategy_name,params,sharpe,return_pct,max_dd_pct,num_trades
META,10,Stooq_V2,RSI(10/40/75) SL=8% TP=10%,-10.68189606557628,-1.6326530612244823,11.16428943752073,2
ORCL,1,Stooq_V2,RSI(7/35/80) SL=8% TP=10%,-15.383008210872623,-5.95873195495033,19.533799717412588,5
AAPL,9,Stooq_V2,RSI(14/35/65) SL=10% TP=15%,-18.573340286621328,-30.545627057702674,63.720237635390816,46
AMZN,9,Stooq_V2,RSI(14/35/65) SL=10% TP=15%,-22.745631632927033,-14.53194969512109,30.93977055449331,19
AMZN,8,Stooq_V2,RSI(14/35/65) SL=10% TP=20%,-22.745631632927033,-14.53194969512109,30.93977055449331,19
AMZN,7,Stooq_V2,RSI(14/35/65) SL=10% TP=25%,-22.745631632927033,-14.53194969512109,30.93977055449331,19
AMZN,6,Stooq_V2,RSI(14/35/65) SL=10% TP=30%,-22.745631632927033,-14.53194969512109,30.93977055449331,19
ORCL,6,Stooq_V2,RSI(14/35/65) SL=10% TP=30%,-25.3280550879905,-28.048088775395037,56.925847233050696,36
ORCL,8,Stooq_V2,RSI(14/35/65) SL=10% TP=20%,-25.3280550879905,-28.048088775395037,56.925847233050696,36
ORCL,9,Stooq_V2,RSI(14/35/65) SL=10% TP=15%,-25.3280550879905,-28.048088775395037,56.925847233050696,36
ORCL,7,Stooq_V2,RSI(14/35/65) SL=10% TP=25%,-25.3280550879905,-28.048088775395037,56.925847233050696,36
TSM,10,Stooq_V2,RSI(10/40/75) SL=8% TP=10%,-26.79076409570363,-10.159665296158826,19.007540547482492,7
AAPL,10,Stooq_V2,RSI(10/40/75) SL=8% TP=10%,-26.925048904755606,-25.70556253993162,47.13708538967025,21
AMZN,3,Stooq_V2,RSI(14/35/65) SL=15% TP=25%,-27.15239331722609,-19.2801747120588,34.776449968132574,19
AMZN,4,Stooq_V2,RSI(14/35/65) SL=15% TP=30%,-27.15239331722609,-19.2801747120588,34.776449968132574,19
AMZN,2,Stooq_V2,RSI(14/35/65) SL=15% TP=20%,-27.15239331722609,-19.2801747120588,34.776449968132574,19
ORCL,5,Trend_Filtered,RSI(7/40/75) SMA(50/200) SL=5% TP=8%,-33.92469526918175,-11.00875317261224,16.90990188211083,3
MSFT,9,Stooq_V2,RSI(14/35/65) SL=10% TP=15%,-38.65015337989739,-22.214160947972427,34.55578015634024,18
MSFT,8,Stooq_V2,RSI(14/35/65) SL=10% TP=20%,-38.65015337989739,-22.214160947972427,34.55578015634024,18
MSFT,7,Stooq_V2,RSI(14/35/65) SL=10% TP=25%,-38.65015337989739,-22.214160947972427,34.55578015634024,18
MSFT,6,Stooq_V2,RSI(14/35/65) SL=10% TP=30%,-38.65015337989739,-22.214160947972427,34.55578015634024,18
NVDA,2,Stooq_V2,RSI(14/35/65) SL=15% TP=20%,-42.02070258570643,-53.78380114017318,78.62831988323407,25
NVDA,3,Stooq_V2,RSI(14/35/65) SL=15% TP=25%,-42.02070258570643,-53.78380114017318,78.62831988323407,25
NVDA,4,Stooq_V2,RSI(14/35/65) SL=15% TP=30%,-42.02070258570643,-53.78380114017318,78.62831988323407,25
MSFT,10,Stooq_V2,RSI(10/40/75) SL=8% TP=10%,-42.43581153818591,-21.67998656605155,21.67998656605155,10
