symbol,sharpe,return,max_dd,params
AAPL,-0.07163513289692586,-0.021288371528770327,0.2336066881538502,RSI(7/25/65) SMA(50/200) SL=5% TP=8%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=5% TP=10%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=5% TP=12%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=5% TP=15%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=8% TP=10%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=8% TP=12%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=8% TP=15%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=10% TP=12%
AAPL,-0.066895089667854,-0.020040679474878087,0.227049149121041,RSI(7/25/65) SMA(50/200) SL=10% TP=15%
AAPL,-0.042385532516114044,-0.012728530114963861,0.18861842842214202,RSI(7/25/70) SMA(50/200) SL=5% TP=8%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=5% TP=10%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=5% TP=12%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=5% TP=15%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=8% TP=10%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=8% TP=12%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=8% TP=15%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=10% TP=12%
AAPL,-0.026365009101822504,-0.008175342629633733,0.16468808073289629,RSI(7/25/70) SMA(50/200) SL=10% TP=15%
AAPL,0.002745593382628359,0.0008261042442005218,0.14465288432810872,RSI(7/25/75) SMA(50/200) SL=5% TP=8%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=5% TP=10%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=5% TP=12%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=5% TP=15%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=8% TP=10%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=8% TP=12%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=8% TP=15%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=10% TP=12%
AAPL,0.018058614812616697,0.005579931786078275,0.132287252278475,RSI(7/25/75) SMA(50/200) SL=10% TP=15%
AAPL,-0.04941760521544485,-0.014621077267234505,0.2670154761228703,RSI(7/30/65) SMA(50/200) SL=5% TP=8%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=5% TP=10%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=5% TP=12%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=5% TP=15%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=8% TP=10%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=8% TP=12%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=8% TP=15%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=10% TP=12%
AAPL,-0.04540179066233747,-0.013486529438180059,0.26074379479231263,RSI(7/30/65) SMA(50/200) SL=10% TP=15%
AAPL,-0.015144579931599731,-0.004527000131247985,0.2184948184852594,RSI(7/30/70) SMA(50/200) SL=5% TP=8%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=5% TP=10%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=5% TP=12%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=5% TP=15%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=8% TP=10%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=8% TP=12%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=8% TP=15%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=10% TP=12%
AAPL,-0.012504382254722007,-0.0037504363534183113,0.20640817854780144,RSI(7/30/70) SMA(50/200) SL=10% TP=15%
AAPL,0.03919098442530107,0.011874724903001505,0.17304878481719022,RSI(7/30/75) SMA(50/200) SL=5% TP=8%
AAPL,0.040825802031922535,0.012347256074416085,0.17304878481719044,RSI(7/30/75) SMA(50/200) SL=5% TP=10%
AAPL,0.040825802031922535,0.012347256074416085,0.17304878481719044,RSI(7/30/75) SMA(50/200) SL=5% TP=12%
AAPL,0.040825802031922535,0.012347256074416085,0.17304878481719044,RSI(7/30/75) SMA(50/200) SL=5% TP=15%
AAPL,0.040825802031922535,0.012347256074416085,0.17304878481719044,RSI(7/30/75) SMA(50/200) SL=8% TP=10%
