symbol,sharpe,return,max_dd,total_trades,final_equity,params
AAPL,0.12871263944532121,0.043273273755403775,0.2742879417991017,186,125895.27651712258,RSI(7/25/65) SL=5% TP=8%
AAPL,0.14672766413504507,0.04998357639746508,0.27428794179910126,186,129910.80682832433,RSI(7/25/65) SL=5% TP=10%
AAPL,0.01832846216129633,0.0060263331137755255,0.2764402229137071,186,103606.23426014821,RSI(7/25/65) SL=5% TP=12%
AAPL,0.01832846216129633,0.0060263331137755255,0.2764402229137071,186,103606.23426014821,RSI(7/25/65) SL=5% TP=15%
AAPL,0.01832846216129633,0.0060263331137755255,0.2764402229137071,186,103606.23426014821,RSI(7/25/65) SL=5% TP=20%
AAPL,0.01832846216129633,0.0060263331137755255,0.2764402229137071,186,103606.23426014821,RSI(7/25/65) SL=5% TP=25%
AAPL,0.01832846216129633,0.0060263331137755255,0.2764402229137071,186,103606.23426014821,RSI(7/25/65) SL=5% TP=30%
AAPL,0.265323456316947,0.08758284946105278,0.2595060600098282,186,152410.68928066175,RSI(7/25/65) SL=8% TP=10%
AAPL,0.12817559041708246,0.041725024373666215,0.2595060600098282,186,124968.78442678122,RSI(7/25/65) SL=8% TP=12%
AAPL,0.12817559041708246,0.041725024373666215,0.2595060600098282,186,124968.78442678122,RSI(7/25/65) SL=8% TP=15%
AAPL,0.12401123041293477,0.03976074991845347,0.2595060600098282,186,123793.33764961422,RSI(7/25/65) SL=8% TP=20%
AAPL,0.12401123041293477,0.03976074991845347,0.2595060600098282,186,123793.33764961422,RSI(7/25/65) SL=8% TP=25%
AAPL,0.12401123041293477,0.03976074991845347,0.2595060600098282,186,123793.33764961422,RSI(7/25/65) SL=8% TP=30%
AAPL,0.18813247782084447,0.05974494696835465,0.2604258020698519,186,135752.13493185668,RSI(7/25/65) SL=10% TP=12%
AAPL,0.18813247782084447,0.05974494696835465,0.2604258020698519,186,135752.13493185668,RSI(7/25/65) SL=10% TP=15%
AAPL,0.18424278409497952,0.05761117850681153,0.2604258020698519,186,134475.26078899673,RSI(7/25/65) SL=10% TP=20%
AAPL,0.18424278409497952,0.05761117850681153,0.2604258020698519,186,134475.26078899673,RSI(7/25/65) SL=10% TP=25%
AAPL,0.18424278409497952,0.05761117850681153,0.2604258020698519,186,134475.26078899673,RSI(7/25/65) SL=10% TP=30%
AAPL,0.030099713318337933,0.009003939393977912,0.2634402965421069,186,105388.07166909472,RSI(7/25/65) SL=12% TP=15%
AAPL,0.030099713318337933,0.009003939393977912,0.2634402965421069,186,105388.07166909472,RSI(7/25/65) SL=12% TP=20%
AAPL,0.030099713318337933,0.009003939393977912,0.2634402965421069,186,105388.07166909472,RSI(7/25/65) SL=12% TP=25%
AAPL,0.030099713318337933,0.009003939393977912,0.2634402965421069,186,105388.07166909472,RSI(7/25/65) SL=12% TP=30%
AAPL,0.03975700322531322,0.011744937537936671,0.2519765641499069,186,107028.31976476527,RSI(7/25/65) SL=15% TP=20%
AAPL,0.03975700322531322,0.011744937537936671,0.2519765641499069,186,107028.31976476527,RSI(7/25/65) SL=15% TP=25%
AAPL,0.03975700322531322,0.011744937537936671,0.2519765641499069,186,107028.31976476527,RSI(7/25/65) SL=15% TP=30%
AAPL,0.18377546204008652,0.06359740314348344,0.3122122871295078,186,138057.49362713215,RSI(7/25/70) SL=5% TP=8%
AAPL,0.2027851374344904,0.07095596011139726,0.31221228712950805,186,142460.94755872502,RSI(7/25/70) SL=5% TP=10%
AAPL,0.06706882728304722,0.022752191055146052,0.31221228712950766,186,113615.20004411122,RSI(7/25/70) SL=5% TP=12%
AAPL,0.06706882728304722,0.022752191055146052,0.31221228712950766,186,113615.20004411122,RSI(7/25/70) SL=5% TP=15%
