batch_id,symbol,timeframe,indicator,params,sharpe,return_pct,max_dd,win_rate,trades
full_backtest_20260219_130558,US.AAPL,5m,ATRTrailingStop,{},-2.6737167660570877,-0.06645659820411665,0.11727251723165433,0.040697674418604654,172
full_backtest_20260219_130558,US.AAPL,1h,ATRTrailingStop,{},-1.7325305151374404,-0.04760574583903765,0.10227649395522971,0.11016949152542373,118
full_backtest_20260219_130558,US.AAPL,1d,ATRTrailingStop,{},0.2610447527231014,0.040797415177779905,0.1117825559778219,0.18181818181818182,22
full_backtest_20260219_130558,US.ADBE,5m,ATRTrailingStop,{},-3.0699742253249482,-0.08025795916126655,0.13369307093895166,0.044444444444444446,180
full_backtest_20260219_130558,US.ADBE,1h,ATRTrailingStop,{},-0.6783313340055867,-0.01813550422940602,0.07843887020401258,0.08461538461538462,130
full_backtest_20260219_130558,US.ADBE,1d,ATRTrailingStop,{},-0.06732562244772869,-0.010702924629638066,0.1784513219098702,0.11538461538461539,26
full_backtest_20260219_130558,US.AMD,5m,ATRTrailingStop,{},-3.174323044311184,-0.09400951077964803,0.1507497696834532,0.056179775280898875,178
full_backtest_20260219_130558,US.AMD,1h,ATRTrailingStop,{},-0.05114995702011511,-0.0014092029772163617,0.0588669565506144,0.11627906976744186,86
full_backtest_20260219_130558,US.AMD,1d,ATRTrailingStop,{},0.1681027226636349,0.030122306578416413,0.18026294348924687,0.13636363636363635,22
full_backtest_20260219_130558,US.AMZN,5m,ATRTrailingStop,{},-1.3948154852642687,-0.043860593152705296,0.10701923765618236,0.07272727272727272,110
full_backtest_20260219_130558,US.AMZN,1h,ATRTrailingStop,{},-2.6597305499576125,-0.07081483119751841,0.12561150585907796,0.06875,160
full_backtest_20260219_130558,US.AMZN,1d,ATRTrailingStop,{},0.05777948240021057,0.0029202893156152765,0.060344072704164774,0.06521739130434782,46
full_backtest_20260219_130558,US.AVGO,5m,ATRTrailingStop,{},-4.556836170311285,-0.1173244769575218,0.17134762783456292,0.038834951456310676,206
full_backtest_20260219_130558,US.AVGO,1h,ATRTrailingStop,{},-0.38579450329311565,-0.010420378136811514,0.05938278181307085,0.0847457627118644,118
full_backtest_20260219_130558,US.AVGO,1d,ATRTrailingStop,{},1.009300363652619,0.16681458137426897,0.10920998721579994,0.21428571428571427,14
full_backtest_20260219_130558,US.COIN,5m,ATRTrailingStop,{},-2.750497957873337,-0.0730417424706098,0.12552612010402478,0.07333333333333333,150
full_backtest_20260219_130558,US.COIN,1h,ATRTrailingStop,{},0.19979628706534422,0.006376189909319319,0.0665448319962152,0.1,120
full_backtest_20260219_130558,US.COIN,1d,ATRTrailingStop,{},0.3467769406809215,0.06371324007326873,0.23393424646201458,0.09090909090909091,22
full_backtest_20260219_130558,US.CRM,5m,ATRTrailingStop,{},-1.5798334179048084,-0.040784727059305026,0.09719024819421967,0.03431372549019608,204
full_backtest_20260219_130558,US.CRM,1h,ATRTrailingStop,{},-4.4977941407714415,-0.05463391686581254,0.07396988143267125,0.12,100
full_backtest_20260219_130558,US.CRM,1d,ATRTrailingStop,{},0.05674146894485259,0.0027775655398825094,0.05918341130282478,0.06,50
full_backtest_20260219_130558,US.GOOG,5m,ATRTrailingStop,{},-2.861202581023183,-0.07987261828453529,0.13225090292634617,0.03289473684210526,152
full_backtest_20260219_130558,US.GOOG,1h,ATRTrailingStop,{},-1.5249699985837057,-0.046550280528544596,0.09843315868829228,0.09803921568627451,102
full_backtest_20260219_130558,US.GOOG,1d,ATRTrailingStop,{},1.3911478961546666,0.2137509987639139,0.06521260477890264,0.3,10
full_backtest_20260219_130558,US.GOOGL,5m,ATRTrailingStop,{},-2.9068946440888386,-0.08042335096258146,0.13254980388600746,0.042682926829268296,164
full_backtest_20260219_130558,US.GOOGL,1h,ATRTrailingStop,{},-1.75758104343518,-0.053950376788152954,0.10616133369572592,0.08823529411764706,102
full_backtest_20260219_130558,US.GOOGL,1d,ATRTrailingStop,{},1.407991178344436,0.21604875170762416,0.06498922589386591,0.2,10
full_backtest_20260219_130558,US.META,5m,ATRTrailingStop,{},-1.1077091990138062,-0.02576945330915803,0.0739445176228795,0.04245283018867924,212
full_backtest_20260219_130558,US.META,1h,ATRTrailingStop,{},-0.6524423593003233,-0.01755651487080956,0.08349078469853881,0.10204081632653061,98
full_backtest_20260219_130558,US.META,1d,ATRTrailingStop,{},-0.1530015363640799,-0.02473408867719329,0.19160982231302753,0.13333333333333333,30
full_backtest_20260219_130558,US.MSFT,5m,ATRTrailingStop,{},-2.5084846038182964,-0.06321756375950405,0.11594049077654277,0.05172413793103448,174
full_backtest_20260219_130558,US.MSFT,1h,ATRTrailingStop,{},-0.8462775406741694,-0.022724050868503598,0.07511394723575376,0.09574468085106383,94
full_backtest_20260219_130558,US.MSFT,1d,ATRTrailingStop,{},-0.11737939753921213,-0.018717834839141356,0.1986685695585749,0.08823529411764706,34
full_backtest_20260219_130558,US.MSTR,5m,ATRTrailingStop,{},-3.6938360797926104,-0.10798287577029853,0.16861871514736945,0.05555555555555555,162
full_backtest_20260219_130558,US.MSTR,1h,ATRTrailingStop,{},-0.41414266267274247,-0.009021537757465836,0.048195969418149257,0.11458333333333333,96
full_backtest_20260219_130558,US.MSTR,1d,ATRTrailingStop,{},-0.4790191374660315,-0.08706290088555746,0.27490218375705555,0.07894736842105263,38
full_backtest_20260219_130558,US.MU,5m,ATRTrailingStop,{},-2.821931253779141,-0.17318773138081012,0.2388152794589998,0.0449438202247191,178
full_backtest_20260219_130558,US.MU,1h,ATRTrailingStop,{},-1.6161189766439144,-0.10241010665228101,0.16508007378756853,0.125,88
full_backtest_20260219_130558,US.MU,1d,ATRTrailingStop,{},0.9691195881314765,0.14155055550340334,0.14902058765350415,0.11538461538461539,26
full_backtest_20260219_130558,US.NFLX,5m,ATRTrailingStop,{},-2.6512812605127962,-0.06764653534908538,0.12046898536330983,0.043478260869565216,184
full_backtest_20260219_130558,US.NFLX,1h,ATRTrailingStop,{},0.1208873461589671,0.004163961850276232,0.0737131440791267,0.14893617021276595,94
full_backtest_20260219_130558,US.NFLX,1d,ATRTrailingStop,{},-1.781095845440046,-0.034113104895417745,0.05687583057700467,0.038461538461538464,52
full_backtest_20260219_130558,US.NVDA,5m,ATRTrailingStop,{},-1.2536632789074302,-0.031499258907454086,0.0874006142654903,0.06521739130434782,138
full_backtest_20260219_130558,US.NVDA,1h,ATRTrailingStop,{},0.1967051719968727,0.005295794489921013,0.043081172090669057,0.12162162162162163,74
full_backtest_20260219_130558,US.NVDA,1d,ATRTrailingStop,{},0.4459648037451496,0.022901221755432744,0.05160625185319665,0.1,40
full_backtest_20260219_130558,US.ORCL,5m,ATRTrailingStop,{},-2.0589848384203853,-0.050273600502440785,0.10049305574048592,0.056338028169014086,142
full_backtest_20260219_130558,US.ORCL,1h,ATRTrailingStop,{},-2.457761864327978,-0.07473439202788945,0.13359308352998145,0.07971014492753623,138
full_backtest_20260219_130558,US.ORCL,1d,ATRTrailingStop,{},0.802918234235639,0.13800498128445016,0.13831913366587625,0.18181818181818182,22
full_backtest_20260219_130558,US.QCOM,5m,ATRTrailingStop,{},-2.124531933247323,-0.05228542550717863,0.10338728359590676,0.05172413793103448,174
full_backtest_20260219_130558,US.QCOM,1h,ATRTrailingStop,{},-6.345974283175472,-0.07422469031700729,0.08819467568908337,0.11016949152542373,118
full_backtest_20260219_130558,US.QCOM,1d,ATRTrailingStop,{},-0.4765319139080417,-0.0806312081004461,0.2447685606303588,0.13157894736842105,38
full_backtest_20260219_130558,US.TSLA,5m,ATRTrailingStop,{},-10.511534696734154,-0.17605148306142904,0.23615046244500326,0.06485355648535565,478
full_backtest_20260219_130558,US.TSLA,1h,ATRTrailingStop,{},-6.664054285030742,-0.11653008018629252,0.13051311431269466,0.06756756756756757,148
full_backtest_20260219_130558,US.TSLA,1d,ATRTrailingStop,{},-0.1147271973631479,-0.006515735710179604,0.06044847080466977,0.07142857142857142,42
full_backtest_20260219_130558,US.TSM,5m,ATRTrailingStop,{},-2.7518779465451786,-0.16072890566614817,0.25090126488718034,0.07333333333333333,150
full_backtest_20260219_130558,US.TSM,1h,ATRTrailingStop,{},-0.5021267462428979,-0.01397559309274099,0.08204494556930705,0.09433962264150944,106
full_backtest_20260219_130558,US.TSM,1d,ATRTrailingStop,{},0.694173868990044,0.11132356382337094,0.11173093075207521,0.16666666666666666,24
full_backtest_20260219_130558,US.TXN,5m,ATRTrailingStop,{},-2.237179026418567,-0.055737498801490704,0.10840448979582826,0.05263157894736842,152
full_backtest_20260219_130558,US.TXN,1h,ATRTrailingStop,{},-3.868058546940219,-0.04676915240714674,0.054848671058698284,0.14130434782608695,92
full_backtest_20260219_130558,US.TXN,1d,ATRTrailingStop,{},0.9446662039304259,0.14685648411123453,0.08310122659947058,0.3333333333333333,12
full_backtest_20260219_130558,US.UBER,5m,ATRTrailingStop,{},-1.540931606736709,-0.037510182465527175,0.08913518455114165,0.05555555555555555,126
full_backtest_20260219_130558,US.UBER,1h,ATRTrailingStop,{},-5.307943482395392,-0.06515002433309991,0.08223493474531948,0.12280701754385964,114
full_backtest_20260219_130558,US.UBER,1d,ATRTrailingStop,{},-1.8081441298059133,-0.03787426962841767,0.05039901493509998,0.08333333333333333,48
full_backtest_20260219_130558,US.AAPL,5m,DualMomentum,{},1.0259640915197288,0.07329797731231125,0.06971201298746459,0.125,8
full_backtest_20260219_130558,US.AAPL,1h,DualMomentum,{},-0.2215720554297153,-0.005979740203293171,0.05815154236717586,0.25,56
full_backtest_20260219_130558,US.AAPL,1d,DualMomentum,{},-2.724055987778517,-0.04524406840988204,0.05098936347239638,0.125,40
full_backtest_20260219_130558,US.ADBE,5m,DualMomentum,{},0.5498099303303838,0.041027059852201786,0.0948695130256771,0.16666666666666666,6
full_backtest_20260219_130558,US.ADBE,1h,DualMomentum,{},0.8051400462937988,0.020099894081565983,0.03819982505383571,0.19230769230769232,52
full_backtest_20260219_130558,US.ADBE,1d,DualMomentum,{},-1.667807545985652,-0.14184170240176586,0.19333968173873034,0.21875,32
full_backtest_20260219_130558,US.AMD,5m,DualMomentum,{},0.6650751286667086,0.03799444582512579,0.0559914224634385,0.14285714285714285,14
