symbol,strategy,params,sharpe,return,max_dd,total_trades,final_equity
AAPL,RSIStrategy,RSI(14/30/70),0.14886873355824184,0.025644428719235935,0.20242212692684608,25,115345.95178913008
AAPL,RSIStrategy,RSI(14/30/70),0.20090503658249276,0.036747535980017,0.18415984568672067,24,121990.1921658197
AAPL,RSIStrategy,RSI(14/30/70),0.1404381478871474,0.02684962249339329,0.18279241602998542,23,116067.15504763377
AAPL,RSIStrategy,RSI(14/30/70),0.22330764370965006,0.039039512520786204,0.15699278925871646,23,123361.74003228001
AAPL,RSIStrategy,RSI(14/30/70),0.4648640015782768,0.08615904466410376,0.14426694574396356,22,151558.66641010653
AAPL,RSIStrategy,RSI(14/30/70),0.23036587829360655,0.045091328116271964,0.2207154500634296,21,126983.22333307068
AAPL,RSIStrategy,RSI(14/30/75),0.2349383622821132,0.04123011836480701,0.19629243082551592,25,124672.62638655912
AAPL,RSIStrategy,RSI(14/30/75),0.3135255910008197,0.05907499751739623,0.18415984568672067,24,135351.22867310853
AAPL,RSIStrategy,RSI(14/30/75),0.2615692559856996,0.05191560786175841,0.18279241602998542,23,131066.95899029035
AAPL,RSIStrategy,RSI(14/30/75),0.22330764370965006,0.039039512520786204,0.15699278925871646,22,123361.74003228001
AAPL,RSIStrategy,RSI(14/30/75),0.4648640015782768,0.08615904466410376,0.14426694574396356,21,151558.66641010653
AAPL,RSIStrategy,RSI(14/30/75),0.23036587829360655,0.045091328116271964,0.2207154500634296,20,126983.22333307068
AAPL,RSIStrategy,RSI(14/35/70),0.3594799378529005,0.074158101503356,0.21805550888131187,34,144377.14962978606
AAPL,RSIStrategy,RSI(14/35/70),0.6411625293367605,0.1512887059780072,0.1810941747527201,33,190533.08278366463
AAPL,RSIStrategy,RSI(14/35/70),0.687240434724917,0.1691915855135493,0.18109417475272002,33,201246.39323588583
AAPL,RSIStrategy,RSI(14/35/70),0.7664217764524849,0.15460773919898188,0.23938117929308364,30,192519.23440954948
AAPL,RSIStrategy,RSI(14/35/70),1.326552524812163,0.29937846710475724,0.22959028581135382,29,279151.876346815
AAPL,RSIStrategy,RSI(14/35/70),1.4421137031764046,0.34654409321133045,0.22152172638777462,29,307376.38593757397
AAPL,RSIStrategy,RSI(14/35/75),0.44811362766914575,0.09366652300527199,0.2128290233803921,34,156051.2367825199
