Date,Open,High,Low,Close,Volume
2024-05-24,139.079,140.449,138.307,139.878,16838283.526686
2024-05-28,140.093,140.807,138.358,140.336,23067255.557601
2024-05-29,139.01,139.01,137.41,138.173,27034467.301939
2024-05-30,137.013,137.388,134.692,135.53,21868966.763055
2024-05-31,135.26,135.379,129.885,132.0,73564573.346248
2024-06-03,134.4,134.43,129.415,131.34,26448618.437075
2024-06-04,131.191,132.342,129.86,132.226,23197372.622695
2024-06-05,133.734,140.525,133.192,140.4,33159883.138334
2024-06-06,141.272,141.354,137.931,139.225,20302418.89559
2024-06-07,139.872,141.583,138.803,139.759,17974664.054882
2024-06-10,140.073,143.972,140.006,143.12,31282958.565009
2024-06-11,142.895,145.558,140.712,145.164,35069930.798078
2024-06-12,149.035,149.611,146.691,148.589,57064475.424775
2024-06-13,169.9,172.469,164.189,166.819,89637301.928458
2024-06-14,167.601,173.6,167.128,172.388,70156035.646558
2024-06-17,178.842,183.115,176.714,181.71,88094345.83084
2024-06-18,182.776,183.971,177.353,179.092,87358733.512341
2024-06-20,179.186,179.314,171.114,172.34,68597922.038108
2024-06-21,168.475,170.297,164.079,164.796,100646083.2814
2024-06-24,163.667,165.555,158.545,158.699,58768038.25565
2024-06-25,159.488,160.077,155.887,157.561,56997303.285453
2024-06-26,159.238,161.288,156.843,158.678,46631621.64846
2024-06-27,158.678,160.036,156.585,158.146,31753155.828189
2024-06-28,159.065,163.386,158.08,160.027,69604814.273302
2024-07-01,160.293,164.334,158.828,163.542,47780076.608733
2024-07-02,163.542,165.376,161.668,165.205,32645862.3728
2024-07-03,166.453,172.355,165.9,172.355,40085230.72696
2024-07-05,174.98,175.968,169.044,169.773,45389278.897447
2024-07-08,169.941,175.114,169.941,174.014,36518176.915399
2024-07-09,175.08,176.517,169.997,172.763,38040918.89441
2024-07-10,174.028,176.07,172.07,173.897,41209295.730053
2024-07-11,175.887,175.908,166.303,170.036,51279789.658224
2024-07-12,170.542,172.025,168.577,169.509,30553161.908626
2024-07-15,169.443,172.941,168.705,170.858,23074846.876237
2024-07-16,171.835,172.243,165.854,168.82,22318108.072346
2024-07-17,161.778,162.306,155.1,155.469,43485914.12925
2024-07-18,158.369,160.981,153.395,159.994,38098395.318389
2024-07-19,161.309,163.413,156.605,156.834,26396078.814149
2024-07-22,159.705,162.456,157.382,160.532,28908102.939918
2024-07-23,159.869,164.788,159.376,163.233,21641122.722843
2024-07-24,159.829,160.876,150.605,150.844,37284850.287615
2024-07-25,150.764,153.047,145.043,148.771,30973667.44474
2024-07-26,152.997,153.077,149.429,151.133,20908414.698647
2024-07-29,151.522,154.492,148.661,149.728,16680445.218543
2024-07-30,152.778,152.967,142.88,143.05,31204638.633642
2024-07-31,150.973,160.801,150.505,160.153,45978240.680798
2024-08-01,156.984,158.389,145.691,146.538,40452569.96892
2024-08-02,141.46,144.874,139.142,143.349,33856835.284605
2024-08-05,129.185,144.943,128.079,141.614,41445125.847898
2024-08-06,141.265,148.422,139.79,143.448,24832698.611544
2024-08-07,147.764,149.608,135.385,135.823,29847603.889829
2024-08-08,140.737,145.79,137.946,145.262,27673921.945452
2024-08-09,143.727,149.06,143.638,147.774,18499300.942183
2024-08-12,147.595,150.635,145.89,148.133,17836947.560409
